event_id,state,income_group,PSS,MSS,MSS_predicted,DI,DI_std,total_articles,indic_share,coverage_days
E42,Delhi,High,0.0576,0.8532,0.46885168652191694,0.384348313478083,3.1588944954632594,33940,0.2568650559811432,92
E94,Maharashtra,High,0.3222,0.9207,0.5516314576380729,0.3690685423619271,3.033312612628965,39317,0.3540961924867106,112
E33,Bihar,Low,0.0503,0.6767,0.46656789087132006,0.2101321091286799,1.7270406544518984,16055,0.3337900965431329,77
E77,Kerala,Middle,0.1049,0.6902,0.4836494309429078,0.20655056905709224,1.6976045757163414,12776,0.2703506574827802,119
E97,Maharashtra,High,0.2594,0.7383,0.5319845580685544,0.20631544193144558,1.6956721052022443,20891,0.3173615432482887,92
E86,Madhya Pradesh,Low,0.19,0.7127,0.5102728569519209,0.20242714304807907,1.6637148271066744,8173,0.5004282393246055,185
E64,Himachal Pradesh,Low,0.0256,0.658,0.4588405275056018,0.19915947249439825,1.636858389435332,3988,0.4272818455366098,185
E01,Kerala,Middle,0.4824,0.7975,0.6017498224635007,0.19575017753649926,1.608837964476366,34918,0.2420241709147144,33
E72,Karnataka,High,0.2342,0.717,0.5241007703432062,0.19289922965679374,1.5854065007538956,18118,0.2762446186113257,96
E29,Assam,Low,0.0738,0.6618,0.4739198357739265,0.18788016422607356,1.5441556415579802,4831,0.1540053819085075,177
E95,Maharashtra,High,0.282,0.7266,0.539054939123827,0.18754506087617306,1.5414014831805627,19382,0.1998761737694768,94
E156,Uttarakhand,Low,0.014,0.6257,0.45521148236218756,0.17048851763781248,1.4012166074887358,3801,0.4009471191791633,158
E81,Madhya Pradesh,Low,0.0894,0.6467,0.4788002757943801,0.16789972420561994,1.3799397473177057,12032,0.206781914893617,86
E53,Gujarat,High,0.2918,0.7066,0.5421208565725735,0.16447914342742653,1.3518265660896092,7654,0.3867258949568853,185
E13,Andhra Pradesh,Middle,0.2337,0.6858,0.5239443459835763,0.16185565401642366,1.3302645454726105,14409,0.2740648205982372,100
E120,Punjab,Middle,0.0583,0.63,0.4690706806253988,0.1609293193746012,1.3226511560068681,13938,0.2747166020949921,53
E76,Karnataka,High,0.1479,0.6572,0.49710192587108126,0.16009807412891874,1.3158192903816373,12418,0.2663875020132066,92
E118,Punjab,Middle,0.1098,0.6395,0.48518238966728106,0.1543176103327189,1.2683106253850325,10302,0.1750145602795573,96
E75,Karnataka,High,0.1917,0.6627,0.5108046997746627,0.15189530022533726,1.248402063811627,8178,0.25177304964539,139
E78,Kerala,Middle,0.0357,0.6123,0.4620002995701262,0.15029970042987373,1.235288096001438,8045,0.2114356743318831,94
E119,Punjab,Middle,0.1432,0.6418,0.49563153689056,0.14616846310944004,1.2013341475298662,10934,0.2566306932504115,92
E54,Gujarat,High,0.0414,0.6073,0.4637835372699074,0.14351646273009255,1.1795378000333006,7803,0.3371780084582852,92
E36,Bihar,Low,0.2938,0.6837,0.5427465540110932,0.1409534459889068,1.158472794173782,5796,0.4875776397515527,185
E158,Uttarakhand,Low,0.043,0.5965,0.46428409522072317,0.13221590477927686,1.0866604045701593,6896,0.3947215777262181,92
E73,Karnataka,High,0.1216,0.6162,0.48887400455454727,0.1273259954454527,1.0464710577296603,8391,0.1991419377904898,94
E46,Goa,High,0.0036,0.5788,0.4519578556818851,0.12684214431811486,1.0424943662517143,2405,0.0931392931392931,138
E12,Delhi,High,0.0669,0.5986,0.47176117961103353,0.1268388203889665,1.042467047434064,14168,0.2836674195369847,22
E63,Himachal Pradesh,Low,0.0392,0.584,0.4630952700875357,0.12090472991246426,0.993695750450416,2771,0.3464453265968964,136
E163,West Bengal,Middle,0.2386,0.6395,0.5254773047079495,0.11402269529205045,0.9371334591181492,9104,0.2680140597539543,108
E167,West Bengal,Middle,0.2422,0.6246,0.526603560097285,0.097996439902715,0.8054163469129801,5121,0.3179066588556922,139
