event_id,state,income_group,onset_year,monsoon_flag,MSS,MSS_entropy,n_articles_0_14,PSS,population_exposed,adjusted_flood_area_km2,total_deaths,deaths_missing,severity_proxy,observed,expected,log_ratio,pearson_resid,deviance_resid,under_flag,over_flag,severity_tier,rank_undercovered
E127,Sikkim,Low,2025,0,0.125,0.0169,2.0,0.4666,918.0,9.27,50.0,0,population_exposed,0.125,0.3372066996307791,-0.9918791869257328,-2.236234943111214,-0.2122066996307791,True,False,low,1
E160,Uttarakhand,Low,2025,1,0.2383,0.0643,694.0,0.5167,2354.0,10.57,140.0,0,population_exposed,0.2383,0.3778075822342906,-0.46069973909181183,-1.4701313896502097,-0.1395075822342906,True,False,low,2
E18,Arunachal Pradesh,Low,2015,1,0.2295,0.0468,33.0,0.1701,22.0,1.14,25.0,0,population_exposed,0.2295,0.35475633836354853,-0.4353743624586254,-1.3199517318825593,-0.12525633836354852,True,False,low,3
E19,Arunachal Pradesh,Low,2016,0,0.3383,0.073,435.0,0.3434,112.0,5.91,18.0,0,population_exposed,0.3383,0.5208296347810566,-0.43138634689833477,-1.9234979299000572,-0.1825296347810566,True,False,low,4
E135,Telangana,High,2023,1,0.3787,0.0904,1002.0,0.8306,35591.0,103.61,23.0,0,population_exposed,0.3787,0.5277716217311391,-0.33184475217013437,-1.5709172713276531,-0.14907162173113914,True,False,low,5
E28,Assam,Low,2021,1,0.2839,0.0614,120.0,0.7824,30371.0,65.28,0.0,1,population_exposed,0.2839,0.3951987805328568,-0.33066764722105896,-1.1728669386324162,-0.1112987805328568,True,False,low,6
E104,Meghalaya,Low,2024,0,0.2668,0.056,81.0,0.2747,216.0,1.42,15.0,0,population_exposed,0.2668,0.3688837231900488,-0.32387847606107417,-1.075758632115161,-0.10208372319004883,True,False,low,7
E102,Meghalaya,Low,2022,0,0.3664,0.167,340.0,0.2838,238.0,1.56,2035.0,0,population_exposed,0.3664,0.4977332047924551,-0.3062665694606894,-1.3839897715702059,-0.13133320479245508,True,False,low,8
E123,Rajasthan,Low,2018,1,0.3784,0.0875,1024.0,0.9239,56754.0,233.85,33.0,0,population_exposed,0.3784,0.5061720585276626,-0.2908581169943171,-1.3464623997732035,-0.12777205852766255,True,False,low,9
E69,Jharkhand,Low,2017,1,0.3482,0.0772,536.0,0.4344,2044.0,4.01,6.0,0,population_exposed,0.3482,0.4649347027757826,-0.28904785505608765,-1.2301507062458632,-0.11673470277578257,True,False,low,10
E159,Uttarakhand,Low,2023,0,0.3267,0.072,327.0,0.6897,9057.0,40.66,0.0,1,population_exposed,0.3267,0.42881944875848854,-0.27192077318036156,-1.0761351082803643,-0.10211944875848855,True,False,low,11
E155,Uttarakhand,Low,2019,1,0.4814,0.2447,2580.0,0.6704,7809.0,35.06,1900.0,0,population_exposed,0.4814,0.6185352654663197,-0.25060963590115304,-1.4451319072498159,-0.13713526546631966,True,False,low,12
E61,Himachal Pradesh,Low,2018,1,0.3932,0.1092,1187.0,0.4966,1440.0,10.61,504.0,0,population_exposed,0.3932,0.5042885080531507,-0.24877414099367456,-1.1706510865056383,-0.11108850805315074,True,False,low,13
E136,Tripura,Low,2018,0,0.3308,0.0728,360.0,0.3826,1110.0,2.75,15.0,0,population_exposed,0.3308,0.418592812486174,-0.23532129168836463,-0.9251609651211846,-0.08779281248617404,True,False,low,14
E103,Meghalaya,Low,2024,0,0.3184,0.1143,170.0,0.3038,291.0,1.91,48.0,0,population_exposed,0.3184,0.4004443033690405,-0.22920190552565547,-0.8645831559337555,-0.0820443033690405,True,False,low,15
E66,Himachal Pradesh,Low,2025,1,0.281,0.0826,1631.0,0.3803,548.0,4.04,140.0,0,population_exposed,0.281,0.3519392496484948,-0.22503219615264966,-0.7475580609757753,-0.0709392496484948,True,False,low,16
E71,Jharkhand,Low,2022,1,0.3475,0.1043,399.0,0.278,428.0,0.84,63.0,0,population_exposed,0.3475,0.426864289664344,-0.20564798557748,-0.8363411621376746,-0.079364289664344,True,False,low,17
E70,Jharkhand,Low,2021,1,0.4461,0.2635,951.0,0.6557,12247.0,24.03,1282.0,0,population_exposed,0.4461,0.5471597556405604,-0.20415628090724683,-1.0649680584963166,-0.10105975564056041,True,False,low,18
E132,Tamil Nadu,Middle,2019,0,0.4128,0.1075,1909.0,0.4794,3321.0,5.58,27.0,0,population_exposed,0.4128,0.5042841020829992,-0.20013265223054974,-0.9640597878064516,-0.09148410208299923,True,False,low,19
E15,Andhra Pradesh,Middle,2020,0,0.4399,0.1512,2363.0,0.9224,69110.0,210.19,152.0,0,population_exposed,0.4399,0.5338253474718794,-0.19348130353333415,-0.989785640255132,-0.09392534747187936,True,False,low,20
E10,Odisha,Low,2022,1,0.3028,0.0738,173.0,0.5396,3459.0,11.47,0.0,1,population_exposed,0.3028,0.36626973488824976,-0.1902403100675814,-0.6688442883003238,-0.06346973488824975,True,False,low,21
E165,West Bengal,Middle,2019,1,0.5426,0.2982,5704.0,0.789,58517.0,51.83,1900.0,0,population_exposed,0.5426,0.6543113151539811,-0.18717939495291552,-1.1772142299130708,-0.11171131515398114,True,False,low,22
E152,Uttarakhand,Low,2015,1,0.3846,0.0957,1098.0,0.7074,10375.0,46.58,25.0,0,population_exposed,0.3846,0.4633274236971695,-0.18618597980960694,-0.8296298663475234,-0.07872742369716951,True,False,low,23
E04,Telangana,High,2020,0,0.3728,0.0881,887.0,0.3206,553.0,1.61,152.0,0,population_exposed,0.3728,0.4480894192090825,-0.1839056666054977,-0.7934001630242536,-0.0752894192090825,True,False,low,24
E57,Haryana,High,2018,1,0.3626,0.0801,746.0,0.3785,1496.0,2.13,25.0,0,population_exposed,0.3626,0.43529318287573726,-0.1826734452363684,-0.7660410154605666,-0.07269318287573728,True,False,low,25
E157,Uttarakhand,Low,2022,1,0.3856,0.1173,911.0,0.5549,3187.0,14.31,63.0,0,population_exposed,0.3856,0.46249400921574113,-0.18178993425230874,-0.8103093381280573,-0.07689400921574113,True,False,low,26
E105,Meghalaya,Low,2025,0,0.2787,0.0575,109.0,0.3958,675.0,4.43,50.0,0,population_exposed,0.2787,0.33175140616781784,-0.17419261805629177,-0.5590559037960402,-0.05305140616781784,True,False,low,27
E52,Gujarat,High,2021,1,0.3762,0.0866,979.0,0.8197,34779.0,92.74,7.0,0,population_exposed,0.3762,0.4464455848735599,-0.17115479128771585,-0.7402482191507354,-0.07024558487355992,True,False,low,28
E109,Nagaland,Low,2018,1,0.3816,0.1043,937.0,0.1718,58.0,0.42,504.0,0,population_exposed,0.3816,0.4475217028745102,-0.15931350271958725,-0.694683135517711,-0.06592170287451021,True,False,low,29
E114,Odisha,Low,2019,1,0.4726,0.2387,2241.0,0.2103,139.0,0.46,1900.0,0,population_exposed,0.4726,0.5470958104240461,-0.14634577209103508,-0.7850371108711109,-0.07449581042404607,True,False,low,30
E41,Chhattisgarh,Low,2023,1,0.5261,0.2778,4896.0,0.7346,13015.0,56.79,1529.0,0,population_exposed,0.5261,0.6074885718289139,-0.14381659323036622,-0.857673054669834,-0.0813885718289139,True,False,low,31
E14,Andhra Pradesh,Middle,2017,1,0.4174,0.1129,2017.0,0.9182,66920.0,203.53,0.0,1,population_exposed,0.4174,0.4811954889797214,-0.14219685939937382,-0.6722770860558983,-0.06379548897972143,True,False,low,32
E35,Bihar,Low,2021,1,0.4351,0.1531,2089.0,0.7516,50725.0,36.45,59.0,0,population_exposed,0.4351,0.500473323250011,-0.1399483924834874,-0.6889043091162407,-0.06537332325001105,True,False,low,33
E51,Gujarat,High,2021,1,0.4112,0.1397,1362.0,0.6546,9859.0,26.29,59.0,0,population_exposed,0.4112,0.4713762424237723,-0.13654583834341807,-0.6341374531874246,-0.060176242423772286,True,False,low,34
E40,Chhattisgarh,Low,2021,1,0.3816,0.126,756.0,0.4463,1350.0,5.89,59.0,0,population_exposed,0.3816,0.4360671864802813,-0.1333906653276854,-0.5739754016818672,-0.054467186480281315,True,False,low,35
E113,Odisha,Low,2018,1,0.4166,0.1451,1470.0,0.2414,211.0,0.7,504.0,0,population_exposed,0.4166,0.4702431119362514,-0.12109591533305133,-0.565291301253867,-0.053643111936251375,True,False,low,36
E45,Goa,High,2017,1,0.4392,0.1557,2234.0,0.2934,469.0,1.09,75.0,0,population_exposed,0.4392,0.49482550170861844,-0.11922469866170374,-0.5861817316104332,-0.05562550170861846,True,False,low,37
