event_id,sits_detect_km2,sits_threshold,sits_method,ndwi_flood_km2,s1_flood_km2,s1_clear_km2,s1_cloudy_km2,optical_clear_km2,optical_available,cloud_pct,combined_km2,district_km2,flood_ratio,combined_source
E01,,,no-sits,,28.86,0.0,28.86,,False,100.0,28.86,2961.8,0.0097,S1(cloud)
E02,595.97,0.684,ndwi-calib,148.34,,,,139.73,True,61.2,139.73,2293.7,0.0609,SITS+NDWI(no-S1)
E03,6.14,0.305,otsu,1.36,,,,1.36,True,93.3,1.36,1556.5,0.0009,NDWI(no-S1)
E04,97.89,0.398,otsu,1.61,,,,1.61,True,0.0,1.61,178.6,0.009,NDWI
E05,38.91,0.414,otsu,0.0,8.83,0.12,8.71,0.0,True,96.2,8.71,6912.8,0.0013,NDWI+S1cloud
E06,1705.98,0.223,ndwi-calib,4.59,1.65,0.91,0.74,4.08,True,36.2,4.82,7838.3,0.0006,SITS+NDWI+S1cloud
E07,655.36,0.32,low-conf,55.21,10.83,5.01,5.82,55.21,True,36.7,61.03,3157.8,0.0193,NDWI+S1cloud
E08,226.51,0.334,ndwi-calib,98.32,107.18,25.37,81.81,66.09,True,74.6,147.9,3806.3,0.0389,SITS+NDWI+S1cloud
E09,298.6,0.492,low-conf,14.71,6.11,4.76,1.35,14.71,True,7.2,16.06,2187.3,0.0073,NDWI+S1cloud
E10,1399.19,0.21,ndwi-calib,14.3,9.08,4.52,4.57,11.47,True,36.3,16.04,3697.1,0.0043,SITS+NDWI+S1cloud
E100,,,no-sits,,,,,,False,100.0,,489.0,,none
E101,51.61,0.3,ndwi-calib,4.79,,,,4.21,True,84.3,4.21,489.0,0.0086,SITS+NDWI(no-S1)
E102,442.37,0.258,otsu,0.36,1.56,0.54,1.03,0.36,True,61.9,1.39,5255.6,0.0003,NDWI+S1cloud
E103,47.92,0.336,otsu,0.15,1.91,0.26,1.64,0.15,True,95.6,1.79,5255.6,0.0003,NDWI+S1cloud
E104,1082.57,0.258,otsu,1.42,0.48,0.42,0.06,1.42,True,10.7,1.48,5255.6,0.0003,NDWI+S1cloud
E105,768.0,0.242,low-conf,4.43,1.32,0.36,0.96,4.43,True,47.4,5.39,5255.6,0.001,NDWI+S1cloud
E106,233.06,0.258,otsu,2.04,0.03,0.01,0.03,2.04,True,23.6,2.07,1362.0,0.0015,NDWI+S1cloud
E107,,,no-sits,,,,,,False,100.0,,1629.5,,none
E108,,,no-sits,,,,,,False,100.0,,1629.5,,none
E109,,,no-sits,,0.42,0.0,0.42,,False,100.0,0.42,1629.5,0.0003,S1(cloud)
E11,280.58,0.305,otsu,1.61,0.69,0.32,0.37,1.61,True,68.7,1.98,3951.3,0.0005,NDWI+S1cloud
E110,208.08,0.242,otsu,1.35,0.05,0.04,0.01,1.35,True,23.8,1.36,1629.5,0.0008,NDWI+S1cloud
E111,,,no-sits,,,,,,False,4.0,,1629.5,,none
E112,,,no-sits,,0.14,0.0,0.14,,False,100.0,0.14,8088.5,0.0,S1(cloud)
E113,,,no-sits,,0.7,0.0,0.7,,False,100.0,0.7,8088.5,0.0001,S1(cloud)
E114,1323.83,0.336,otsu,0.46,0.28,0.27,0.02,0.46,True,2.5,0.48,8088.5,0.0001,NDWI+S1cloud
E115,2439.58,0.287,ndwi-calib,3.89,0.4,0.36,0.04,2.97,True,9.9,3.01,8088.5,0.0004,SITS+NDWI+S1cloud
E116,,,no-sits,,,,,,False,100.0,,2605.1,,none
E117,542.31,0.367,otsu,1.24,4.62,4.62,0.0,1.24,True,0.0,1.24,2605.1,0.0005,NDWI+S1cloud
E118,1102.64,0.65,ndwi-calib,4.79,81.73,78.8,2.93,3.69,True,3.5,6.62,2605.1,0.0025,SITS+NDWI+S1cloud
E119,1736.29,0.707,ndwi-calib,151.28,131.15,106.19,24.97,131.62,True,18.3,156.59,2605.1,0.0601,SITS+NDWI+S1cloud
E12,308.02,0.732,ndwi-calib,34.82,30.48,12.93,17.55,22.22,True,54.7,39.77,1504.3,0.0264,SITS+NDWI+S1cloud
E120,205.21,0.346,ndwi-calib,4.24,7.87,7.42,0.45,4.24,True,13.0,4.69,2605.1,0.0018,SITS+NDWI(restored)+S1cloud
E121,,,no-sits,,,,,,False,100.0,,17676.9,,none
E122,2675.51,0.586,otsu,0.47,5256.4,2606.19,2649.49,0.47,True,57.0,2649.96,17676.9,0.1499,NDWI+S1cloud
E123,1770.7,0.602,low-conf,4.11,233.85,136.21,97.65,4.11,True,73.1,101.76,17676.9,0.0058,NDWI+S1cloud
E124,5037.67,0.674,ndwi-calib,10.63,3844.59,3826.61,18.53,7.41,True,0.7,25.94,17676.9,0.0015,SITS+NDWI+S1cloud
E125,,,no-sits,1.61,,,,,False,82.3,,4247.0,,none
E126,411.65,0.499,ndwi-calib,2.23,,,,1.8,True,77.7,1.8,4247.0,0.0004,SITS+NDWI(no-S1)
E127,680.76,0.315,ndwi-calib,10.85,21.27,9.07,12.2,9.27,True,55.0,21.47,4247.0,0.0051,SITS+NDWI+S1cloud
E128,,,no-sits,,,,,,False,100.0,,2900.7,,none
E129,,,no-sits,,67.08,0.0,67.08,,False,100.0,67.08,2900.7,0.0231,S1(cloud)
E13,,,no-sits,,35.52,0.0,35.52,,False,100.0,35.52,8431.7,0.0042,S1(cloud)
E130,,,no-sits,,6.22,0.0,6.22,,False,100.0,6.22,2900.7,0.0021,S1(cloud)
E131,2342.09,0.539,otsu,1.14,,,,1.14,True,0.3,1.14,2900.7,0.0004,NDWI(no-S1)
E132,52.02,0.758,otsu,0.04,5.58,0.47,5.11,0.04,True,92.9,5.15,2900.7,0.0018,NDWI+S1cloud
E133,826.57,0.383,low-conf,11.68,1.97,1.4,0.58,11.68,True,13.5,12.26,2900.7,0.0042,NDWI+S1cloud
E134,208.9,0.523,otsu,0.25,,,,0.25,True,35.3,0.25,2900.7,0.0001,NDWI(no-S1)
E135,4610.87,0.555,low-conf,103.61,153.0,62.97,90.03,103.61,True,45.2,193.64,12850.1,0.0151,NDWI+S1cloud
E136,,,no-sits,,2.75,0.0,2.75,,False,100.0,2.75,3040.0,0.0009,S1(cloud)
E137,,,no-sits,,0.03,0.0,0.03,,False,100.0,0.03,3040.0,0.0,S1(cloud)
E138,,,no-sits,,0.16,0.0,0.16,,False,100.0,0.16,3040.0,0.0001,S1(cloud)
E139,1044.89,0.202,ndwi-calib,4.89,4.96,2.9,2.06,3.67,True,34.6,5.73,3040.0,0.0019,SITS+NDWI+S1cloud
E14,,,no-sits,,203.53,0.0,203.53,,False,100.0,203.53,8431.7,0.0241,S1(cloud)
E140,,,no-sits,,6.82,0.0,6.82,,False,100.0,6.82,2544.2,0.0027,S1(cloud)
E141,,,no-sits,,3.12,0.0,3.12,,False,100.0,3.12,2544.2,0.0012,S1(cloud)
E142,,,no-sits,,,,,,False,95.8,,2544.2,,none
E143,,,no-sits,,,,,,False,100.0,,2544.2,,none
E144,,,no-sits,,8.45,0.0,8.45,,False,100.0,8.45,2544.2,0.0033,S1(cloud)
E145,1170.23,0.43,otsu,1.48,68.12,59.75,8.36,1.48,True,15.6,9.84,2544.2,0.0039,NDWI+S1cloud
E146,,,no-sits,,49.9,0.0,49.9,,False,100.0,49.9,2544.2,0.0196,S1(cloud)
E147,1365.61,0.612,ndwi-calib,37.23,61.95,53.97,7.98,29.86,True,2.4,37.84,2544.2,0.0149,SITS+NDWI+S1cloud
E148,452.2,0.695,ndwi-calib,4.09,14.18,14.16,0.01,4.09,True,0.0,4.1,2544.2,0.0016,SITS+NDWI(restored)+S1cloud
E149,1241.91,0.586,otsu,1.29,6.36,6.36,0.0,1.29,True,0.0,1.29,2544.2,0.0005,NDWI+S1cloud
E15,62.26,0.324,ndwi-calib,3.71,210.19,13.32,196.89,2.87,True,90.7,199.76,8431.7,0.0237,SITS+NDWI+S1cloud
E150,516.1,0.328,ndwi-calib,4.56,3.01,1.46,1.55,2.31,True,30.1,3.86,2544.2,0.0015,SITS+NDWI+S1cloud
E151,231.42,0.613,ndwi-calib,7.79,12.73,1.57,11.17,5.23,True,34.3,16.4,2544.2,0.0064,SITS+NDWI+S1cloud
E152,,,no-sits,,46.58,0.0,46.58,,False,100.0,46.58,7838.3,0.0059,S1(cloud)
E153,,,no-sits,,4.01,0.0,4.01,,False,100.0,4.01,7838.3,0.0005,S1(cloud)
E154,,,no-sits,,4.05,0.0,4.05,,False,100.0,4.05,7838.3,0.0005,S1(cloud)
E155,455.48,0.319,ndwi-calib,3.31,35.06,0.4,34.66,2.52,True,76.6,37.18,7838.3,0.0047,SITS+NDWI+S1cloud
E156,534.53,0.508,otsu,0.77,11.8,0.12,11.68,0.77,True,73.4,12.45,7838.3,0.0016,NDWI+S1cloud
E157,287.13,0.414,otsu,2.62,14.31,0.54,13.77,2.62,True,62.0,16.39,7838.3,0.0021,NDWI+S1cloud
E158,63.49,0.508,otsu,0.39,29.93,0.06,29.87,0.39,True,97.6,30.26,7838.3,0.0039,NDWI+S1cloud
E159,1443.43,0.264,ndwi-calib,51.92,,,,40.66,True,19.1,40.66,7838.3,0.0052,SITS+NDWI(no-S1)
E16,304.33,0.367,low-conf,76.93,165.41,123.24,42.16,76.93,True,21.9,119.09,8431.7,0.0141,NDWI+S1cloud
E160,,,no-sits,,10.57,0.0,10.57,,False,100.0,10.57,7838.3,0.0013,S1(cloud)
E161,1855.08,0.246,ndwi-calib,14.59,10.62,0.88,9.74,8.18,True,14.1,17.92,7838.3,0.0023,SITS+NDWI+S1cloud
E162,,,no-sits,,,,,,False,100.0,,4566.0,,none
