event_id,state,affected_area_km2,area_s1_km2,area_s2_km2,pre_images,post_images,s2_post_images,otsu_threshold_db,status,baseline_status
E01,Kerala,840.73,840.73,,17,6,0,-14.251,OK,
E02,Bihar,775.74,2987.39,775.74,19,5,6,-16.0,OK,
E03,Assam,560.47,431.66,560.47,11,3,12,-16.0,OK,
E04,Telangana,34.72,0.37,34.72,5,1,7,-16.0,OK,
E05,Maharashtra,0.82,15.95,0.82,8,4,7,-16.0,OK,
E06,Uttarakhand,44.67,2.33,44.67,10,2,13,-16.0,OK,
E07,Uttar Pradesh,304.48,226.01,304.48,12,3,11,-16.0,OK,
E08,Assam,295.0,295.0,,10,2,0,-16.0,OK,
E09,Karnataka,45.43,20.68,45.43,1,1,2,-16.0,OK,
E10,Odisha,17.55,60.52,17.55,8,2,6,-14.744,OK,
E100,Manipur,1.3,1.3,,9,2,0,-16.0,,OK
E101,Manipur,76.87,2.07,76.87,10,2,7,-16.0,,OK
E102,Meghalaya,0.66,162.13,0.66,8,2,1,-16.0,,OK
E103,Meghalaya,30.26,26.04,30.26,4,2,11,-16.0,,OK
E104,Meghalaya,484.32,98.74,484.32,10,4,13,-16.0,,OK
E105,Meghalaya,67.28,102.16,67.28,10,2,8,-14.238,,OK
E106,Mizoram,36.84,18.23,36.84,12,3,6,-16.0,,OK
E107,Nagaland,,,,8,0,0,,,SKIPPED_NO_S1_IMAGERY
E108,Nagaland,52.65,52.65,,15,4,0,-16.0,,OK
E109,Nagaland,172.91,172.91,,21,3,0,-16.0,,OK
E11,Himachal Pradesh,244.77,201.43,244.77,15,3,11,-16.0,OK,
E110,Nagaland,93.74,266.36,93.74,21,3,9,-16.0,,OK
E111,Nagaland,6.98,206.02,6.98,14,3,6,-14.743,,OK
E112,Odisha,239.18,239.18,,22,3,0,-16.0,,OK
E113,Odisha,5841.05,5841.05,,43,13,0,-13.256,,OK
E114,Odisha,466.56,535.92,466.56,38,4,91,-14.273,,OK
E115,Odisha,2184.18,2091.08,2184.18,35,10,100,-14.243,,OK
E116,Punjab,,,,10,0,0,,,SKIPPED_NO_S1_IMAGERY
E117,Punjab,22.8,178.67,22.8,21,6,8,-16.0,,OK
E118,Punjab,1564.13,809.61,1564.13,9,6,31,-16.0,,OK
E119,Punjab,3159.8,2692.73,3159.8,21,3,32,-16.0,,OK
E12,Delhi,131.93,118.21,131.93,5,1,3,-16.0,OK,
E120,Punjab,449.94,520.26,449.94,21,6,53,-16.0,,OK
E121,Rajasthan,,,,24,0,0,,,SKIPPED_NO_S1_IMAGERY
E122,Rajasthan,6.92,107418.09,6.92,82,20,10,-13.746,,OK
E123,Rajasthan,48.85,25908.24,48.85,82,20,9,-16.0,,OK
E124,Rajasthan,1651.11,113553.1,1651.11,64,21,190,-13.744,,OK
E125,Sikkim,5.87,,5.87,6,0,11,,,SKIPPED_NO_S1_IMAGERY
E126,Sikkim,2.76,,2.76,4,0,5,,,SKIPPED_NO_S1_IMAGERY
E127,Sikkim,7.19,22.26,7.19,2,2,11,-16.0,,OK
E128,Tamil Nadu,,,,4,0,0,,,SKIPPED_NO_S1_IMAGERY
E129,Tamil Nadu,2289.97,2289.97,,8,9,0,-16.0,,OK
E13,Andhra Pradesh,1935.46,1935.46,,12,11,0,-16.0,,OK
E130,Tamil Nadu,4483.37,4483.37,0.0,31,5,1,-13.751,,OK
E131,Tamil Nadu,65.4,3.89,65.4,40,8,46,-15.744,,OK
E132,Tamil Nadu,21.06,3043.44,21.06,48,13,8,-13.751,,OK
E133,Tamil Nadu,334.43,428.44,334.43,34,5,27,-15.243,,OK
E134,Tamil Nadu,256.68,0.0,256.68,29,2,79,-15.754,,OK
E135,Telangana,108.14,1213.35,108.14,36,10,9,-16.0,,OK
E136,Tripura,12.77,12.77,,7,2,0,-16.0,,OK
E137,Tripura,1.17,0.0,1.17,6,1,2,-16.0,,OK
E138,Tripura,1.15,0.0,1.15,5,1,5,-16.0,,OK
E139,Tripura,86.05,27.09,86.05,7,2,3,-16.0,,OK
E14,Andhra Pradesh,1493.15,1493.15,,54,15,0,-16.0,,OK
E140,Uttar Pradesh,2409.68,2409.68,,35,11,0,-16.0,,OK
E141,Uttar Pradesh,1128.15,1128.15,,35,9,0,-16.0,,OK
E142,Uttar Pradesh,0.0,0.0,0.0,17,1,2,-16.0,,ZERO_AREA
E143,Uttar Pradesh,,,,4,0,0,,,SKIPPED_NO_S1_IMAGERY
E144,Uttar Pradesh,2512.13,2512.13,0.0,65,13,1,-16.0,,OK
E145,Uttar Pradesh,38.2,16044.71,38.2,63,17,35,-16.0,,OK
E146,Uttar Pradesh,7440.85,7440.85,,69,15,0,-16.0,,OK
E147,Uttar Pradesh,6282.34,2794.27,6282.34,66,10,122,-16.0,,OK
E148,Uttar Pradesh,417.4,3153.75,417.4,64,17,178,-16.0,,OK
E149,Uttar Pradesh,864.72,3126.54,864.72,64,17,150,-16.0,,OK
E15,Andhra Pradesh,1090.44,3206.52,1090.44,51,12,90,-14.251,,OK
E150,Uttar Pradesh,1207.16,1618.75,1207.16,52,16,96,-16.0,,OK
E151,Uttar Pradesh,5029.07,5288.48,5029.07,54,16,119,-16.0,,OK
E152,Uttarakhand,189.61,189.61,,15,4,0,-16.0,,OK
E153,Uttarakhand,12.4,12.4,,11,1,0,-16.0,,OK
E154,Uttarakhand,56.8,56.8,,21,3,0,-16.0,,OK
E155,Uttarakhand,91.77,354.13,91.77,12,3,17,-16.0,,OK
E156,Uttarakhand,79.33,63.69,79.33,21,6,44,-16.0,,OK
E157,Uttarakhand,52.16,107.84,52.16,23,3,21,-16.0,,OK
E158,Uttarakhand,26.93,152.44,26.93,19,5,16,-16.0,,OK
E159,Uttarakhand,188.21,,188.21,11,0,44,,,SKIPPED_NO_S1_IMAGERY
E16,Andhra Pradesh,792.59,4781.2,792.59,49,14,75,-14.243,,OK
E160,Uttarakhand,27.84,179.14,27.84,21,6,22,-16.0,,OK
E161,Uttarakhand,80.62,117.1,80.62,18,3,32,-16.0,,OK
E162,West Bengal,92.03,92.03,,19,3,0,-16.0,,OK
E163,West Bengal,19.94,5182.21,19.94,40,10,7,-13.236,,OK
E164,West Bengal,2936.1,2936.1,,37,11,0,-16.0,,OK
E165,West Bengal,5721.79,2290.07,5721.79,37,7,65,-16.0,,OK
E166,West Bengal,1605.6,534.15,1605.6,47,5,59,-16.0,,OK
E167,West Bengal,2470.59,1227.46,2470.59,35,10,77,-13.239,,OK
E168,West Bengal,886.1,1172.66,886.1,33,9,36,-13.739,,OK
E17,Andhra Pradesh,6357.82,6009.07,6357.82,58,14,35,-13.25,,OK
E18,Arunachal Pradesh,11.16,11.16,,15,2,0,-16.0,,OK
E19,Arunachal Pradesh,55.2,55.2,,17,3,0,-16.0,,OK
