event_id,total_article_count,state,english,indic,international,weighted_avg_tone,count_hindi,count_tamil,count_malayalam,count_telugu,count_kannada,count_bengali,count_marathi,count_gujarati,count_punjabi,count_urdu,indic_share,english_share,lang_diversity
E01,34918,Kerala,22730,8451,3737,-2.9874436130627293,3069,871,2221,631,428,205,821,99,37,69,0.242,0.651,29
E02,5794,Bihar,3546,1620,628,-5.210238143788796,1141,26,14,8,26,120,169,56,9,2,0.2796,0.612,34
E03,815,Assam,684,125,6,-3.6235338525016183,85,1,5,0,2,18,5,7,2,0,0.1534,0.8393,10
E04,887,Telangana,678,201,8,-3.74823523158296,107,11,2,42,12,14,5,7,0,1,0.2266,0.7644,13
E05,4504,Maharashtra,2532,1093,879,-3.821294771178102,444,26,29,106,45,33,340,58,4,4,0.2427,0.5622,43
E06,4378,Uttarakhand,3454,592,332,-3.612327389636729,330,39,30,9,53,35,24,63,9,0,0.1352,0.7889,17
E07,2157,Uttar Pradesh,1321,717,119,-2.879229572676487,622,1,2,14,8,18,18,27,6,1,0.3324,0.6124,27
E08,2811,Assam,2326,409,76,-4.680811053837852,229,28,2,6,20,50,42,25,5,1,0.1455,0.8275,15
E09,2110,Karnataka,1503,567,40,-3.639163376414373,202,102,3,64,151,9,18,18,0,0,0.2687,0.7123,16
E10,173,Odisha,154,13,6,-2.0751855992377837,0,0,0,1,0,0,8,4,0,0,0.0751,0.8902,5
E11,5574,Himachal Pradesh,3913,1648,13,-3.6653130399229092,1210,17,27,31,8,13,144,115,39,36,0.2957,0.702,15
E12,14168,Delhi,9315,4064,789,-3.3630600329009046,2531,303,67,222,138,129,227,206,112,84,0.2868,0.6575,43
