event_id,state,affected_area_km2,population_exposed,area_norm,pop_norm,PSS,income_group
E01,Kerala,26503.63,24633807.0,0.1323,0.2104,0.1714,Middle
E02,Bihar,9081.17,12637715.0,0.0453,0.1079,0.0766,Low
E03,Assam,1210.91,563371.0,0.006,0.0048,0.0054,Low
E04,Telangana,14.73,5060.0,0.0,0.0,0.0,High
E05,Maharashtra,13405.43,5604992.0,0.0669,0.0479,0.0574,High
E06,Uttarakhand,9542.57,2125547.0,0.0476,0.0181,0.0329,Low
E07,Uttar Pradesh,20578.39,20607173.0,0.1027,0.176,0.1394,Low
E08,Assam,1636.22,761244.0,0.0081,0.0065,0.0073,Low
E09,Karnataka,2399.58,859272.0,0.0119,0.0073,0.0096,High
E10,Odisha,5082.18,1532517.0,0.0253,0.0131,0.0192,Low
E11,Himachal Pradesh,11603.26,1574599.0,0.0579,0.0134,0.0356,Low
E12,Delhi,59.66,895573.0,0.0003,0.0076,0.004,High
E13,Andhra Pradesh,30451.78,10012510.0,0.152,0.0855,0.1188,Middle
E14,Andhra Pradesh,41402.63,13613138.0,0.2066,0.1163,0.1614,Middle
E15,Andhra Pradesh,24172.67,7947947.0,0.1206,0.0679,0.0942,Middle
E16,Andhra Pradesh,69685.83,22912624.0,0.3478,0.1957,0.2718,Middle
E17,Andhra Pradesh,40312.73,13254781.0,0.2012,0.1132,0.1572,Middle
E18,Arunachal Pradesh,3537.12,67327.0,0.0176,0.0006,0.0091,Low
E19,Arunachal Pradesh,11271.5,214547.0,0.0562,0.0018,0.029,Low
E20,Arunachal Pradesh,5258.67,100096.0,0.0262,0.0008,0.0135,Low
E21,Arunachal Pradesh,15582.88,296611.0,0.0777,0.0025,0.0401,Low
E22,Arunachal Pradesh,18906.27,359870.0,0.0943,0.0031,0.0487,Low
E23,Assam,3010.74,1400735.0,0.015,0.012,0.0135,Low
E24,Assam,943.22,438829.0,0.0047,0.0037,0.0042,Low
E25,Assam,94.33,43888.0,0.0004,0.0004,0.0004,Low
E26,Assam,16474.87,7664876.0,0.0822,0.0655,0.0738,Low
E27,Assam,26476.15,12317934.0,0.1321,0.1052,0.1186,Low
E28,Assam,4318.33,2009089.0,0.0215,0.0172,0.0194,Low
E29,Assam,2083.02,969118.0,0.0104,0.0083,0.0094,Low
E31,Assam,18685.36,8693296.0,0.0932,0.0742,0.0837,Low
E32,Assam,2091.54,973079.0,0.0104,0.0083,0.0094,Low
E34,Bihar,38874.61,54099463.0,0.194,0.4621,0.328,Low
E35,Bihar,18266.39,25420238.0,0.0911,0.2171,0.1541,Low
E36,Bihar,38887.16,54116935.0,0.1941,0.4622,0.3282,Low
E37,Bihar,31291.54,43546555.0,0.1562,0.372,0.2641,Low
E38,Bihar,53532.87,74498484.0,0.2672,0.6363,0.4518,Low
E39,Chhattisgarh,79409.5,18198304.0,0.3963,0.1554,0.2758,Low
E40,Chhattisgarh,33360.41,7645216.0,0.1665,0.0653,0.1159,Low
E41,Chhattisgarh,41918.79,9606544.0,0.2092,0.082,0.1456,Low
E42,Delhi,353.31,5303639.0,0.0017,0.0453,0.0235,High
E45,Goa,2469.14,1062489.0,0.0123,0.0091,0.0107,High
E46,Goa,2075.05,892910.0,0.0103,0.0076,0.009,High
E47,Gujarat,6529.57,2448721.0,0.0325,0.0209,0.0267,High
E48,Gujarat,21350.72,8006955.0,0.1065,0.0684,0.0874,High
E49,Gujarat,74459.12,27923689.0,0.3716,0.2385,0.305,High
E50,Gujarat,19783.59,7419251.0,0.0987,0.0634,0.081,High
E51,Gujarat,39127.32,14673543.0,0.1953,0.1253,0.1603,High
E52,Gujarat,13834.42,5188189.0,0.069,0.0443,0.0567,High
E53,Gujarat,104132.3,39051738.0,0.5198,0.3336,0.4267,High
E54,Gujarat,6071.63,2276985.0,0.0303,0.0194,0.0248,High
E55,Gujarat,88983.53,33370638.0,0.4441,0.285,0.3646,High
E56,Haryana,12.31,8644.0,0.0,0.0001,0.0,High
E57,Haryana,24913.91,17500931.0,0.1243,0.1495,0.1369,High
E58,Haryana,9033.85,6345885.0,0.0451,0.0542,0.0496,High
E59,Himachal Pradesh,850.73,115447.0,0.0042,0.001,0.0026,Low
E60,Himachal Pradesh,445.51,60457.0,0.0022,0.0005,0.0014,Low
E61,Himachal Pradesh,27802.95,3772947.0,0.1387,0.0322,0.0854,Low
E62,Himachal Pradesh,18235.36,2474596.0,0.091,0.0211,0.056,Low
E63,Himachal Pradesh,16853.19,2287031.0,0.0841,0.0195,0.0518,Low
E64,Himachal Pradesh,19070.53,2587931.0,0.0952,0.0221,0.0587,Low
E65,Himachal Pradesh,8379.38,1137108.0,0.0418,0.0097,0.0258,Low
E66,Himachal Pradesh,17681.68,2399459.0,0.0882,0.0205,0.0544,Low
E67,Jammu and Kashmir,15771.73,5164147.0,0.0787,0.0441,0.0614,Low
E68,Jammu and Kashmir,15740.41,5153893.0,0.0785,0.044,0.0612,Low
E69,Jharkhand,21490.43,10952256.0,0.1072,0.0935,0.1004,Low
E70,Jharkhand,22056.61,11240805.0,0.1101,0.096,0.103,Low
E71,Jharkhand,16851.15,8587921.0,0.0841,0.0733,0.0787,Low
E72,Karnataka,133997.9,47983700.0,0.6688,0.4099,0.5394,High
E73,Karnataka,9325.01,3339222.0,0.0465,0.0285,0.0375,High
E74,Karnataka,6762.52,2421609.0,0.0337,0.0207,0.0272,High
E75,Karnataka,79122.64,28333256.0,0.3949,0.242,0.3184,High
E76,Karnataka,53817.62,19271710.0,0.2686,0.1646,0.2166,High
E77,Kerala,25153.11,23378562.0,0.1255,0.1997,0.1626,Middle
E78,Kerala,6192.02,5755175.0,0.0309,0.0491,0.04,Middle
E79,Kerala,3405.62,3165356.0,0.017,0.027,0.022,Middle
E80,Kerala,19307.03,17944923.0,0.0963,0.1533,0.1248,Middle
E81,Madhya Pradesh,18373.48,5303985.0,0.0917,0.0453,0.0685,Low
E82,Madhya Pradesh,4140.68,1195315.0,0.0206,0.0102,0.0154,Low
E83,Madhya Pradesh,124314.39,35886599.0,0.6205,0.3065,0.4635,Low
E84,Madhya Pradesh,130195.03,37584199.0,0.6499,0.321,0.4855,Low
E85,Madhya Pradesh,122719.4,35426164.0,0.6125,0.3026,0.4576,Low
E86,Madhya Pradesh,83111.2,23992220.0,0.4148,0.2049,0.3098,Low
E87,Madhya Pradesh,146480.17,42285332.0,0.7311,0.3612,0.5462,Low
E88,Madhya Pradesh,95104.44,27454385.0,0.4747,0.2345,0.3546,Low
E90,Maharashtra,39100.04,16348259.0,0.1951,0.1396,0.1674,High
E91,Maharashtra,170789.75,71409523.0,0.8525,0.6099,0.7312,High
E92,Maharashtra,108282.09,45274218.0,0.5405,0.3867,0.4636,High
E93,Maharashtra,110755.59,46308423.0,0.5528,0.3955,0.4742,High
E94,Maharashtra,79215.01,33120877.0,0.3954,0.2829,0.3391,High
E95,Maharashtra,110460.46,46185024.0,0.5513,0.3945,0.4729,High
E96,Maharashtra,119256.85,49862916.0,0.5953,0.4259,0.5106,High
E97,Maharashtra,110685.44,46279092.0,0.5525,0.3953,0.4739,High
E98,Maharashtra,114084.41,47700249.0,0.5694,0.4074,0.4884,High
E100,Manipur,8.83,1301.0,0.0,0.0,0.0,Low
E101,Manipur,2876.51,423740.0,0.0143,0.0036,0.009,Low
E102,Meghalaya,647.72,98679.0,0.0032,0.0008,0.002,Low
E103,Meghalaya,5715.0,870666.0,0.0285,0.0074,0.018,Low
E104,Meghalaya,531.74,81009.0,0.0026,0.0007,0.0016,Low
E105,Meghalaya,411.0,62615.0,0.002,0.0005,0.0012,Low
E106,Mizoram,7956.31,477054.0,0.0397,0.0041,0.0219,Low
E107,Nagaland,3968.02,545456.0,0.0198,0.0046,0.0122,Low
E108,Nagaland,8.89,1222.0,0.0,0.0,0.0,Low
E109,Nagaland,9764.76,1342293.0,0.0487,0.0115,0.0301,Low
E110,Nagaland,3827.87,526191.0,0.0191,0.0045,0.0118,Low
E111,Nagaland,148.87,20464.0,0.0007,0.0002,0.0004,Low
E112,Odisha,31701.25,9559422.0,0.1582,0.0816,0.1199,Low
E113,Odisha,50320.83,15174101.0,0.2511,0.1296,0.1904,Low
E114,Odisha,11111.3,3350580.0,0.0554,0.0286,0.042,Low
E115,Odisha,56430.44,17016436.0,0.2816,0.1453,0.2135,Low
E116,Punjab,4040.87,2502413.0,0.0201,0.0214,0.0207,Middle
E117,Punjab,28981.24,17947397.0,0.1446,0.1533,0.149,Middle
E118,Punjab,19373.67,11997659.0,0.0967,0.1025,0.0996,Middle
E119,Punjab,5001.46,3097286.0,0.0249,0.0264,0.0256,Middle
E120,Punjab,17105.69,10593148.0,0.0853,0.0905,0.0879,Middle
E121,Rajasthan,84261.99,20450040.0,0.4206,0.1747,0.2976,Low
