event_id,state,AHP (primary),Entropy,Equal (1/3×3),SOV-heavy,Time-heavy,AHP γ=0.1,AHP γ=0.5,max_rank_shift
E01,Kerala,3,3,8,3,31,3,3,28
E02,Bihar,66,65,69,66,74,66,66,9
E03,Assam,125,121,107,125,95,125,125,30
E04,Telangana,139,139,135,139,135,139,139,4
E05,Maharashtra,78,85,98,78,104,78,78,26
E06,Uttarakhand,80,90,102,80,110,80,80,30
E07,Uttar Pradesh,96,97,91,96,89,96,96,8
E08,Assam,87,87,87,87,86,87,87,1
E09,Karnataka,120,126,127,120,132,120,120,12
E10,Odisha,149,148,140,149,133,149,149,16
E100,Manipur,72,69,62,72,60,72,72,12
E101,Manipur,145,146,149,145,154,145,145,9
E102,Meghalaya,82,73,64,82,58,82,82,24
E103,Meghalaya,117,105,89,117,79,117,117,38
E104,Meghalaya,160,162,160,160,160,160,160,2
E105,Meghalaya,159,160,159,159,159,159,159,1
E106,Mizoram,161,163,161,161,161,161,161,2
E107,Nagaland,150,150,147,150,145,150,150,5
E108,Nagaland,155,156,152,155,150,155,155,6
E109,Nagaland,127,127,111,127,102,127,127,25
E11,Himachal Pradesh,69,71,84,69,91,69,69,22
E110,Nagaland,47,39,20,47,10,47,47,37
E111,Nagaland,156,157,156,156,156,156,156,1
E112,Odisha,81,77,73,81,67,81,81,14
E113,Odisha,93,88,77,93,71,93,93,22
E114,Odisha,61,58,53,61,50,61,61,11
E115,Odisha,63,59,55,63,52,63,63,11
E116,Punjab,84,92,100,84,102,84,84,18
E117,Punjab,134,137,140,134,143,134,134,9
E118,Punjab,26,26,29,26,27,26,26,3
E119,Punjab,23,23,30,23,28,23,23,7
E12,Delhi,30,41,58,30,69,30,30,39
E120,Punjab,22,30,44,22,56,22,22,34
E121,Rajasthan,59,62,60,59,61,59,59,3
E122,Rajasthan,36,33,32,36,25,36,36,11
E123,Rajasthan,139,140,140,139,140,139,139,1
E124,Rajasthan,40,42,40,40,38,40,40,4
E126,Sikkim,167,167,167,167,167,167,167,0
E127,Sikkim,164,166,164,164,164,164,164,2
E128,Tamil Nadu,111,115,120,111,120,111,111,9
E129,Tamil Nadu,29,31,45,29,54,29,29,25
E13,Andhra Pradesh,10,12,17,10,19,10,10,9
E130,Tamil Nadu,71,75,86,71,92,71,71,21
E131,Tamil Nadu,103,104,108,103,109,103,103,6
E132,Tamil Nadu,123,125,125,123,126,123,123,3
E133,Tamil Nadu,102,106,115,102,119,102,102,17
E134,Tamil Nadu,95,101,110,95,117,95,95,22
E135,Telangana,135,135,134,135,134,135,135,1
E136,Tripura,152,152,150,152,147,152,152,5
E137,Tripura,122,108,90,122,85,122,122,37
E138,Tripura,119,119,116,119,111,119,119,8
E139,Tripura,148,151,155,148,155,148,148,7
E14,Andhra Pradesh,112,114,117,112,114,112,112,5
E140,Uttar Pradesh,91,96,105,91,108,91,91,17
E141,Uttar Pradesh,97,100,106,97,106,97,97,9
E142,Uttar Pradesh,126,128,132,126,135,126,126,9
E143,Uttar Pradesh,4,4,9,4,20,4,4,16
E144,Uttar Pradesh,8,13,19,8,30,8,8,22
E145,Uttar Pradesh,99,102,112,99,118,99,99,19
E146,Uttar Pradesh,19,21,28,19,29,19,19,10
E147,Uttar Pradesh,21,20,26,21,24,21,21,6
E148,Uttar Pradesh,14,15,16,14,13,14,14,3
E149,Uttar Pradesh,75,72,71,75,69,75,75,6
E15,Andhra Pradesh,89,84,79,89,78,89,89,11
E150,Uttar Pradesh,115,117,118,115,115,115,115,3
E151,Uttar Pradesh,77,81,93,77,99,77,77,22
E152,Uttarakhand,131,131,129,131,124,131,131,7
E153,Uttarakhand,154,155,152,154,150,154,154,5
E154,Uttarakhand,137,134,133,137,127,137,137,10
E155,Uttarakhand,58,56,52,58,48,58,58,10
