event_id,state,district,canonical_state,start_date,bbox_area_km2,state_area_km2,raw_flood_area_km2,adjusted_flood_area_km2,region_total_population,population_exposed,exposure_rate,warnings
E01,Kerala,Thrissur,Kerala,2018-08-08,149204.4,38852,101782.62,26503.63,36111000,24633807.0,0.682169,BBOX OVERFLOW: bbox=149204 km2 > state=38852 km2 (scale factor=0.260). Flood area scaled from 101782.6 to 26503.6 km2.
E02,Bihar,Darbhanga,Bihar,2019-07-10,96690.7,94163,9081.17,9081.17,131041000,12637715.0,0.096441,
E03,Assam,Morigaon,Assam,2020-05-25,55132.4,78438,1210.91,1210.91,36493000,563371.0,0.015438,
E04,Telangana,Hyderabad,Telangana,2020-10-13,11286.9,112077,14.73,14.73,38499000,5060.0,0.000131,
E05,Maharashtra,Raigad,Maharashtra,2021-07-22,16835.2,307713,13405.43,13405.43,128659000,5604992.0,0.043565,
E06,Uttarakhand,Chamoli,Uttarakhand,2021-02-07,15924.2,53483,9542.57,9542.57,11913000,2125547.0,0.178422,
E07,Uttar Pradesh,Bahraich,Uttar Pradesh,2021-08-10,54644.3,240928,20578.39,20578.39,241265000,20607173.0,0.085413,
E08,Assam,Cachar,Assam,2022-06-15,25175.8,78438,1636.22,1636.22,36493000,761244.0,0.02086,
E09,Karnataka,Bengaluru,Karnataka,2022-09-05,5042.2,191791,2399.58,2399.58,68679000,859272.0,0.012511,
E10,Odisha,Balasore,Odisha,2022-09-16,34449.8,155707,5082.18,5082.18,46953000,1532517.0,0.032639,
E11,Himachal Pradesh,Mandi,Himachal Pradesh,2023-07-08,28288.4,55673,11603.26,11603.26,7555000,1574599.0,0.208418,
E12,Delhi,North West Delhi,Delhi,2023-07-10,4325.0,1484,173.87,59.66,22277000,895573.0,0.040202,BBOX OVERFLOW: bbox=4325 km2 > state=1484 km2 (scale factor=0.343). Flood area scaled from 173.9 to 59.7 km2.
E13,Andhra Pradesh,Krishna,Andhra Pradesh,2016-07-09,682930.3,162975,127605.09,30451.78,53586000,10012510.0,0.186849,BBOX OVERFLOW: bbox=682930 km2 > state=162975 km2 (scale factor=0.239). Flood area scaled from 127605.1 to 30451.8 km2.
E14,Andhra Pradesh,Krishna,Andhra Pradesh,2017-08-16,682930.3,162975,173493.52,41402.63,53586000,13613138.0,0.254043,BBOX OVERFLOW: bbox=682930 km2 > state=162975 km2 (scale factor=0.239). Flood area scaled from 173493.5 to 41402.6 km2.
E15,Andhra Pradesh,Krishna,Andhra Pradesh,2020-10-01,682930.3,162975,101293.13,24172.67,53586000,7947947.0,0.148321,BBOX OVERFLOW: bbox=682930 km2 > state=162975 km2 (scale factor=0.239). Flood area scaled from 101293.1 to 24172.7 km2.
E16,Andhra Pradesh,Krishna,Andhra Pradesh,2021-10-11,682930.3,162975,292011.42,69685.83,53586000,22912624.0,0.427586,BBOX OVERFLOW: bbox=682930 km2 > state=162975 km2 (scale factor=0.239). Flood area scaled from 292011.4 to 69685.8 km2.
E17,Andhra Pradesh,Krishna,Andhra Pradesh,2024-07-09,682930.3,162975,168926.42,40312.73,53586000,13254781.0,0.247355,BBOX OVERFLOW: bbox=682930 km2 > state=162975 km2 (scale factor=0.239). Flood area scaled from 168926.4 to 40312.7 km2.
E18,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2015-07-07,192554.7,83743,8133.09,3537.12,1594000,67327.0,0.042238,BBOX OVERFLOW: bbox=192555 km2 > state=83743 km2 (scale factor=0.435). Flood area scaled from 8133.1 to 3537.1 km2.
E19,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2016-04-22,192554.7,83743,25917.16,11271.5,1594000,214547.0,0.134596,BBOX OVERFLOW: bbox=192555 km2 > state=83743 km2 (scale factor=0.435). Flood area scaled from 25917.2 to 11271.5 km2.
E20,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2016-06-25,192554.7,83743,12091.54,5258.67,1594000,100096.0,0.062795,BBOX OVERFLOW: bbox=192555 km2 > state=83743 km2 (scale factor=0.435). Flood area scaled from 12091.5 to 5258.7 km2.
E21,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2020-06-01,192554.7,83743,35830.54,15582.88,1594000,296611.0,0.18608,BBOX OVERFLOW: bbox=192555 km2 > state=83743 km2 (scale factor=0.435). Flood area scaled from 35830.5 to 15582.9 km2.
E22,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2025-05-31,192554.7,83743,43472.19,18906.27,1594000,359870.0,0.225765,BBOX OVERFLOW: bbox=192555 km2 > state=83743 km2 (scale factor=0.435). Flood area scaled from 43472.2 to 18906.3 km2.
E23,Assam,Hojai,Assam,2015-08-13,265112.6,78438,10175.99,3010.74,36493000,1400735.0,0.038384,BBOX OVERFLOW: bbox=265113 km2 > state=78438 km2 (scale factor=0.296). Flood area scaled from 10176.0 to 3010.7 km2.
E24,Assam,Hojai,Assam,2016-04-22,265112.6,78438,3187.98,943.22,36493000,438829.0,0.012025,BBOX OVERFLOW: bbox=265113 km2 > state=78438 km2 (scale factor=0.296). Flood area scaled from 3188.0 to 943.2 km2.
E25,Assam,Hojai,Assam,2016-06-25,265112.6,78438,318.84,94.33,36493000,43888.0,0.001203,BBOX OVERFLOW: bbox=265113 km2 > state=78438 km2 (scale factor=0.296). Flood area scaled from 318.8 to 94.3 km2.
E26,Assam,Hojai,Assam,2017-06-04,265112.6,78438,55683.41,16474.87,36493000,7664876.0,0.210037,BBOX OVERFLOW: bbox=265113 km2 > state=78438 km2 (scale factor=0.296). Flood area scaled from 55683.4 to 16474.9 km2.
E27,Assam,Hojai,Assam,2018-06-22,265112.6,78438,89486.72,26476.15,36493000,12317934.0,0.337542,BBOX OVERFLOW: bbox=265113 km2 > state=78438 km2 (scale factor=0.296). Flood area scaled from 89486.7 to 26476.1 km2.
E28,Assam,Hojai,Assam,2021-07-01,265112.6,78438,14595.53,4318.33,36493000,2009089.0,0.055054,BBOX OVERFLOW: bbox=265113 km2 > state=78438 km2 (scale factor=0.296). Flood area scaled from 14595.5 to 4318.3 km2.
E29,Assam,Hojai,Assam,2022-05-17,265112.6,78438,7040.4,2083.02,36493000,969118.0,0.026556,BBOX OVERFLOW: bbox=265113 km2 > state=78438 km2 (scale factor=0.296). Flood area scaled from 7040.4 to 2083.0 km2.
E30,Assam,Hojai,Assam,2023-06-14,,78438,,,36493000,,,NO S1 DATA: no Sentinel-1 imagery for this event window
E31,Assam,Hojai,Assam,2024-05-01,265112.6,78438,63154.63,18685.36,36493000,8693296.0,0.238218,BBOX OVERFLOW: bbox=265113 km2 > state=78438 km2 (scale factor=0.296). Flood area scaled from 63154.6 to 18685.4 km2.
E32,Assam,Hojai,Assam,2025-05-31,265112.6,78438,7069.18,2091.54,36493000,973079.0,0.026665,BBOX OVERFLOW: bbox=265113 km2 > state=78438 km2 (scale factor=0.296). Flood area scaled from 7069.2 to 2091.5 km2.
E33,Bihar,Samastipur,Bihar,2016-07-15,,94163,,,131041000,,,NO S1 DATA: no Sentinel-1 imagery for this event window
E34,Bihar,Samastipur,Bihar,2020-06-01,177335.2,94163,73211.75,38874.61,131041000,54099463.0,0.412844,BBOX OVERFLOW: bbox=177335 km2 > state=94163 km2 (scale factor=0.531). Flood area scaled from 73211.7 to 38874.6 km2.
E35,Bihar,Samastipur,Bihar,2021-06-01,177335.2,94163,34400.71,18266.39,131041000,25420238.0,0.193987,BBOX OVERFLOW: bbox=177335 km2 > state=94163 km2 (scale factor=0.531). Flood area scaled from 34400.7 to 18266.4 km2.
E36,Bihar,Samastipur,Bihar,2022-05-17,177335.2,94163,73235.39,38887.16,131041000,54116935.0,0.412977,BBOX OVERFLOW: bbox=177335 km2 > state=94163 km2 (scale factor=0.531). Flood area scaled from 73235.4 to 38887.2 km2.
E37,Bihar,Samastipur,Bihar,2023-06-25,177335.2,94163,58930.7,31291.54,131041000,43546555.0,0.332312,BBOX OVERFLOW: bbox=177335 km2 > state=94163 km2 (scale factor=0.531). Flood area scaled from 58930.7 to 31291.5 km2.
E38,Bihar,Samastipur,Bihar,2025-10-03,177335.2,94163,100817.34,53532.87,131041000,74498484.0,0.568513,BBOX OVERFLOW: bbox=177335 km2 > state=94163 km2 (scale factor=0.531). Flood area scaled from 100817.3 to 53532.9 km2.
E39,Chhattisgarh,Mahasamund,Chhattisgarh,2020-06-01,304461.8,135192,178835.73,79409.5,30982000,18198304.0,0.587383,BBOX OVERFLOW: bbox=304462 km2 > state=135192 km2 (scale factor=0.444). Flood area scaled from 178835.7 to 79409.5 km2.
E40,Chhattisgarh,Mahasamund,Chhattisgarh,2021-06-01,304461.8,135192,75129.96,33360.41,30982000,7645216.0,0.246763,BBOX OVERFLOW: bbox=304462 km2 > state=135192 km2 (scale factor=0.444). Flood area scaled from 75130.0 to 33360.4 km2.
E41,Chhattisgarh,Mahasamund,Chhattisgarh,2023-06-25,304461.8,135192,94404.03,41918.79,30982000,9606544.0,0.310069,BBOX OVERFLOW: bbox=304462 km2 > state=135192 km2 (scale factor=0.444). Flood area scaled from 94404.0 to 41918.8 km2.
E42,Delhi,Delhi,Delhi,2023-06-25,4325.0,1484,1029.68,353.31,22277000,5303639.0,0.238077,BBOX OVERFLOW: bbox=4325 km2 > state=1484 km2 (scale factor=0.343). Flood area scaled from 1029.7 to 353.3 km2.
E43,Goa,South Goa,Goa,2015-08-28,,3702,,,1593000,,,NO S1 DATA: no Sentinel-1 imagery for this event window
E44,Goa,South Goa,Goa,2016-07-28,,3702,,,1593000,,,NO S1 DATA: no Sentinel-1 imagery for this event window
E45,Goa,South Goa,Goa,2017-06-25,8554.7,3702,5705.73,2469.14,1593000,1062489.0,0.666973,BBOX OVERFLOW: bbox=8555 km2 > state=3702 km2 (scale factor=0.433). Flood area scaled from 5705.7 to 2469.1 km2.
E46,Goa,South Goa,Goa,2021-06-01,8554.7,3702,4795.07,2075.05,1593000,892910.0,0.560521,BBOX OVERFLOW: bbox=8555 km2 > state=3702 km2 (scale factor=0.433). Flood area scaled from 4795.1 to 2075.0 km2.
E47,Gujarat,Surendranagar,Gujarat,2016-08-01,330120.8,196024,10996.34,6529.57,73513000,2448721.0,0.03331,BBOX OVERFLOW: bbox=330121 km2 > state=196024 km2 (scale factor=0.594). Flood area scaled from 10996.3 to 6529.6 km2.
E48,Gujarat,Surendranagar,Gujarat,2017-06-01,330120.8,196024,35956.39,21350.72,73513000,8006955.0,0.108919,BBOX OVERFLOW: bbox=330121 km2 > state=196024 km2 (scale factor=0.594). Flood area scaled from 35956.4 to 21350.7 km2.
E49,Gujarat,Surendranagar,Gujarat,2018-06-22,330120.8,196024,125395.38,74459.12,73513000,27923689.0,0.379847,BBOX OVERFLOW: bbox=330121 km2 > state=196024 km2 (scale factor=0.594). Flood area scaled from 125395.4 to 74459.1 km2.
E50,Gujarat,Surendranagar,Gujarat,2020-06-01,330120.8,196024,33317.22,19783.59,73513000,7419251.0,0.100924,BBOX OVERFLOW: bbox=330121 km2 > state=196024 km2 (scale factor=0.594). Flood area scaled from 33317.2 to 19783.6 km2.
E51,Gujarat,Surendranagar,Gujarat,2021-06-01,330120.8,196024,65893.67,39127.32,73513000,14673543.0,0.199605,BBOX OVERFLOW: bbox=330121 km2 > state=196024 km2 (scale factor=0.594). Flood area scaled from 65893.7 to 39127.3 km2.
E52,Gujarat,Surendranagar,Gujarat,2021-09-13,330120.8,196024,23298.31,13834.42,73513000,5188189.0,0.070575,BBOX OVERFLOW: bbox=330121 km2 > state=196024 km2 (scale factor=0.594). Flood area scaled from 23298.3 to 13834.4 km2.
E53,Gujarat,Surendranagar,Gujarat,2022-05-17,330120.8,196024,175367.5,104132.3,73513000,39051738.0,0.531222,BBOX OVERFLOW: bbox=330121 km2 > state=196024 km2 (scale factor=0.594). Flood area scaled from 175367.5 to 104132.3 km2.
E54,Gujarat,Surendranagar,Gujarat,2023-06-25,330120.8,196024,10225.13,6071.63,73513000,2276985.0,0.030974,BBOX OVERFLOW: bbox=330121 km2 > state=196024 km2 (scale factor=0.594). Flood area scaled from 10225.1 to 6071.6 km2.
E55,Gujarat,Surendranagar,Gujarat,2024-08-26,330120.8,196024,149855.69,88983.53,73513000,33370638.0,0.453942,BBOX OVERFLOW: bbox=330121 km2 > state=196024 km2 (scale factor=0.594). Flood area scaled from 149855.7 to 88983.5 km2.
E56,Haryana,Hisar,Haryana,2015-07-07,106588.1,44212,29.67,12.31,31057000,8644.0,0.000278,BBOX OVERFLOW: bbox=106588 km2 > state=44212 km2 (scale factor=0.415). Flood area scaled from 29.7 to 12.3 km2.
E57,Haryana,Hisar,Haryana,2018-09-23,106588.1,44212,60063.45,24913.91,31057000,17500931.0,0.56351,BBOX OVERFLOW: bbox=106588 km2 > state=44212 km2 (scale factor=0.415). Flood area scaled from 60063.4 to 24913.9 km2.
E58,Haryana,Hisar,Haryana,2023-06-26,106588.1,44212,21779.17,9033.85,31057000,6345885.0,0.20433,BBOX OVERFLOW: bbox=106588 km2 > state=44212 km2 (scale factor=0.415). Flood area scaled from 21779.2 to 9033.9 km2.
E59,Himachal Pradesh,Kullu,Himachal Pradesh,2015-07-07,99688.9,55673,1523.33,850.73,7555000,115447.0,0.015281,BBOX OVERFLOW: bbox=99689 km2 > state=55673 km2 (scale factor=0.558). Flood area scaled from 1523.3 to 850.7 km2.
E60,Himachal Pradesh,Kullu,Himachal Pradesh,2017-08-16,99688.9,55673,797.74,445.51,7555000,60457.0,0.008002,BBOX OVERFLOW: bbox=99689 km2 > state=55673 km2 (scale factor=0.558). Flood area scaled from 797.7 to 445.5 km2.
E61,Himachal Pradesh,Kullu,Himachal Pradesh,2018-08-07,99688.9,55673,49784.4,27802.95,7555000,3772947.0,0.499397,BBOX OVERFLOW: bbox=99689 km2 > state=55673 km2 (scale factor=0.558). Flood area scaled from 49784.4 to 27803.0 km2.
E62,Himachal Pradesh,Kullu,Himachal Pradesh,2019-07-14,99688.9,55673,32652.53,18235.36,7555000,2474596.0,0.327544,BBOX OVERFLOW: bbox=99689 km2 > state=55673 km2 (scale factor=0.558). Flood area scaled from 32652.5 to 18235.4 km2.
