state,income_group,mean_DI,median_DI,std_DI,n_events,mean_PSS_n,mean_HER_n,mean_MSS_n,mean_EIS
Rajasthan,Low,-0.006969250000000003,0.001462999999999992,0.2103605373533338,4,0.58614375,0.4242915,0.5791745,0.58614375
Sikkim,Low,0.0913125,0.0913125,0.16253910025744575,2,0.012568,0.5328495,0.1038805,0.012568
Maharashtra,High,0.1276224,0.1158725,0.29039267559373616,10,0.5278134,0.3505408,0.6554358,0.5278134
Madhya Pradesh,Low,0.17790350000000002,0.034304,0.3314404248872315,8,0.426471625,0.32464675,0.604375125,0.426471625
Uttar Pradesh,Low,0.18112907692307692,0.196175,0.3697927112490324,13,0.41137392307692305,0.22055615384615385,0.592503,0.41137392307692305
Bihar,Low,0.2560018333333333,0.30568850000000003,0.19488243486822168,6,0.3374173333333334,0.371535,0.5934191666666667,0.3374173333333334
Chhattisgarh,Low,0.32315333333333335,0.313868,0.10353674341668918,3,0.226222,0.4215373333333334,0.5493753333333333,0.226222
Tamil Nadu,Middle,0.3260477142857143,0.409904,0.2413509154811132,7,0.19668342857142856,0.26266271428571425,0.522731142857143,0.19668342857142856
Mizoram,Low,0.32762,0.32762,,1,0.027662,0.417127,0.355282,0.027662
Arunachal Pradesh,Low,0.3381056,0.351091,0.03770156014411074,5,0.03546780000000001,0.14390920000000001,0.3735734,0.03546780000000001
Andhra Pradesh,Middle,0.34773139999999997,0.285226,0.15295074233490988,5,0.20295559999999999,0.2793852,0.550687,0.20295559999999999
Jharkhand,Low,0.3496223333333333,0.326119,0.07557077670854874,3,0.118774,0.27908099999999997,0.46839633333333336,0.118774
Gujarat,High,0.35143233333333335,0.368417,0.20816307572309745,9,0.2151768888888889,0.23440466666666668,0.5666092222222222,0.2151768888888889
Odisha,Low,0.35589940000000003,0.353675,0.10057522330723406,5,0.14778319999999998,0.21946859999999999,0.5036826000000001,0.14778319999999998
West Bengal,Middle,0.3688602857142857,0.360964,0.13752224591766268,7,0.21214757142857144,0.2858308571428571,0.5810078571428571,0.21214757142857144
Meghalaya,Low,0.38383575000000003,0.36679,0.055557004493132986,4,0.0071997499999999996,0.08988325,0.3910355,0.0071997499999999996
Uttarakhand,Low,0.3857674545454545,0.35429,0.1433261114133525,11,0.08608636363636364,0.4086888181818182,0.4718538181818182,0.08608636363636364
Telangana,High,0.3907305,0.3907305,0.06708392743794891,2,0.050019,0.0985405,0.4407495,0.050019
Karnataka,High,0.3981881666666667,0.449084,0.17732558368088533,6,0.24182133333333333,0.27408316666666666,0.6400095,0.24182133333333333
Haryana,High,0.4017086666666667,0.449599,0.13007754322838871,3,0.078523,0.28293300000000005,0.48023166666666667,0.078523
Tripura,Low,0.42013725,0.419425,0.041557895209574806,4,0.0082735,0.16388224999999998,0.42841075,0.0082735
Nagaland,Low,0.42879579999999995,0.3949,0.08171935966281185,5,0.0137678,0.2361722,0.4425636,0.0137678
Jammu and Kashmir,Low,0.453422,0.453422,,1,0.077302,0.411839,0.530724,0.077302
Himachal Pradesh,Low,0.46396244444444446,0.482747,0.1317831790348365,9,0.052166222222222225,0.2666753333333333,0.5161286666666667,0.052166222222222225
Assam,Low,0.47511849999999994,0.4489845,0.10222574407571382,10,0.0426676,0.1061169,0.5177861,0.0426676
Manipur,Low,0.476398,0.476398,0.08133707882632622,2,0.005684,0.071294,0.482082,0.005684
Punjab,Middle,0.5096504,0.565082,0.15140624220718246,5,0.0967032,0.3269686,0.6063536,0.0967032
Kerala,Middle,0.5259486,0.541239,0.11626802781848497,5,0.13156479999999998,0.4583582,0.6575134,0.13156479999999998
Goa,High,0.555383,0.555383,0.08119141482940173,2,0.0124415,0.678415,0.5678245,0.0124415
Delhi,High,0.896117,0.896117,,1,0.029683,0.263073,0.9258,0.029683
