state,income_group,mean_log_ratio,median_log_ratio,n_events,mean_observed,mean_expected
Sikkim,Low,-6.9152127379030635,-6.9152127379030635,2,2.0,2865.2648396768036
Arunachal Pradesh,Low,-2.4764349543582846,-2.4049283769859278,4,202.25,2052.1401304227415
Meghalaya,Low,-2.136880452715143,-2.0729267140467535,4,175.0,1372.2331245321468
Mizoram,Low,-1.9364366052077473,-1.9364366052077473,1,124.0,862.7827910379858
Jharkhand,Low,-1.6561880534158655,-1.487616560231157,3,628.6666666666666,3797.8146846617
Nagaland,Low,-1.4378931184425991,-1.4378931184425991,2,857.0,3780.6352420845933
Odisha,Low,-1.1907105055511968,-1.325735919642054,5,1598.2,4965.952546533103
Tripura,Low,-0.9681271854092016,-1.2660002556876613,4,740.5,1530.787267609272
Uttarakhand,Low,-0.9479722879890314,-0.8791377112537476,11,2052.181818181818,4236.680406747377
Chhattisgarh,Low,-0.8969668870764647,-0.9305116308393442,3,2705.3333333333335,6521.413819969287
Haryana,High,-0.8586599031206849,-0.8586599031206849,2,3436.0,5104.253647471529
Telangana,High,-0.8496509511821915,-0.8496509511821915,2,944.5,2407.9322307476464
Assam,Low,-0.7653589876159786,-0.41817386385802996,7,2383.285714285714,3537.059048011487
Goa,High,-0.7565674494455876,-0.7565674494455876,2,2319.5,4980.377845987944
Rajasthan,Low,-0.6174565524644128,-0.9195894552396492,3,4653.666666666667,8744.924412482267
Himachal Pradesh,Low,-0.4158882005196786,-0.4217407736419668,9,2758.4444444444443,4494.7731150515565
Manipur,Low,-0.41033804035471744,-0.41033804035471744,1,821.0,1237.769324730637
West Bengal,Middle,-0.3987963935497709,-0.4635338847884795,6,4830.0,7690.355382002891
Bihar,Low,-0.36479873137194363,-0.2749633819666189,6,4836.333333333333,8114.20184166772
Gujarat,High,-0.24950288263506412,-0.1967198263100458,8,4531.875,4940.45211235731
Andhra Pradesh,Middle,-0.08572473967425631,0.17821952549160058,5,4796.6,4357.137573315485
Madhya Pradesh,Low,0.04851639350260928,0.05415105608098779,6,4354.5,3594.6795112931254
Kerala,Middle,0.2455376250820644,0.08011478423005682,5,12213.8,6830.872710506
Punjab,Middle,0.2477173380666318,-0.15661005087819937,4,9103.75,7384.632467565068
Karnataka,High,0.2798554717709915,0.43671635767331873,6,8503.333333333334,5860.751913461448
Uttar Pradesh,Low,0.2857724233748351,0.3466094210310993,11,6667.545454545455,5066.039092154275
Jammu and Kashmir,Low,0.5214072209165131,0.5214072209165131,1,5095.0,3024.619444142166
Tamil Nadu,Middle,0.5238436883122047,0.5137995083208046,6,4688.5,3145.5747771978567
Delhi,High,0.7867576751529438,0.7867576751529438,1,33940.0,15453.244190711019
Maharashtra,High,0.9801230629135256,1.0764629288755785,8,13889.375,4996.89188197958
