event_id,state,income_group,observed,expected,log_ratio
E04,Telangana,High,0.3728,0.4480894192090825,-0.1839056666054977
E05,Maharashtra,High,0.4715,0.3577679406819178,0.2759671310925313
E09,Karnataka,High,0.4173,0.3737409027366354,0.1102146814864702
E135,Telangana,High,0.3787,0.5277716217311391,-0.3318447521701343
E42,Delhi,High,0.8797,0.6454810904657478,0.3095437822488223
E45,Goa,High,0.4392,0.4948255017086184,-0.1192246986617037
E46,Goa,High,0.5055,0.4916746943004744,0.0277251696398266
E48,Gujarat,High,0.5979,0.5748270129738373,0.0393476551686217
E49,Gujarat,High,0.4261,0.4315912074157922,-0.0128018153413214
E50,Gujarat,High,0.5236,0.5509202286182124,-0.0508525197493226
E51,Gujarat,High,0.4112,0.4713762424237723,-0.136545838343418
E52,Gujarat,High,0.3762,0.4464455848735599,-0.1711547912877158
E53,Gujarat,High,0.6333,0.5322690560805956,0.1737651708343223
E55,Gujarat,High,0.4293,0.4770981230939557,-0.105542871606961
E57,Haryana,High,0.3626,0.4352931828757372,-0.1826734452363684
E58,Haryana,High,0.5073,0.5264912991757277,-0.0371250771166375
E72,Karnataka,High,0.7067,0.6013779093984999,0.1613579315597489
E73,Karnataka,High,0.5821,0.5390776128532884,0.0767689917643761
E74,Karnataka,High,0.4239,0.4743682313568046,-0.1124612087469452
E75,Karnataka,High,0.6096,0.5373806361380297,0.1260742993506092
E76,Karnataka,High,0.6346,0.5974114122695907,0.0603790626563743
E91,Maharashtra,High,0.5198,0.4857449497233795,0.0677469458821758
E92,Maharashtra,High,0.5838,0.4621520696044748,0.2336193877916643
E94,Maharashtra,High,0.9504,0.594255587722781,0.4695103891448808
E95,Maharashtra,High,0.72,0.5703169030333081,0.2330225889449457
E96,Maharashtra,High,0.4932,0.4376030183252241,0.1195768681899364
E97,Maharashtra,High,0.7361,0.5987395747667944,0.2065080804583963
E98,Maharashtra,High,0.4336,0.4390219669315338,-0.0124241526477368
E01,Kerala,Middle,0.8501,0.556231271837178,0.4241076864432018
E117,Punjab,Middle,0.3874,0.4234598946404217,-0.0889790830211152
E118,Punjab,Middle,0.6098,0.5967100198015833,0.0216961713420285
E119,Punjab,Middle,0.6155,0.6400780061655519,-0.0391488703504015
E120,Punjab,Middle,0.6272,0.3567682013832334,0.5640583652886417
E129,Tamil Nadu,Middle,0.6075,0.5559008962003309,0.0887468646012357
E13,Andhra Pradesh,Middle,0.665,0.5340694690186127,0.2192242589647299
E130,Tamil Nadu,Middle,0.487,0.5023728362815854,-0.0310721405085194
E131,Tamil Nadu,Middle,0.436,0.3978169846058053,0.0916281727128559
E132,Tamil Nadu,Middle,0.4128,0.5042841020829992,-0.2001326522305497
E133,Tamil Nadu,Middle,0.4412,0.432606256861728,0.019665809103615
E134,Tamil Nadu,Middle,0.4477,0.4122909745004048,0.0823748375658832
E14,Andhra Pradesh,Middle,0.4174,0.4811954889797214,-0.1421968593993738
E15,Andhra Pradesh,Middle,0.4399,0.5338253474718794,-0.1934813035333341
E16,Andhra Pradesh,Middle,0.4641,0.4892582797221575,-0.0527794057251927
E163,West Bengal,Middle,0.6016,0.6008086428862516,0.0013160677542956
E164,West Bengal,Middle,0.4274,0.4315430047698139,-0.0096445803812409
E165,West Bengal,Middle,0.5426,0.6543113151539811,-0.1871793949529155
