state,mean_log_ratio,n_events
Sikkim,-0.9918791869257328,1
Arunachal Pradesh,-0.27110079110011037,3
Meghalaya,-0.25838489227592765,4
Telangana,-0.257875209387816,2
Jharkhand,-0.23295070718027147,3
Chhattisgarh,-0.13200988796772586,3
Nagaland,-0.1203536846536092,2
Haryana,-0.10989926117650295,2
Assam,-0.10335885080542312,6
Uttarakhand,-0.10173454457840059,11
Rajasthan,-0.08127204524694936,3
Mizoram,-0.0625318370255288,1
Goa,-0.04574976451093855,2
Gujarat,-0.03768357290368497,7
Bihar,-0.03287568863965888,5
Tripura,-0.03197540921541383,4
Odisha,-0.029016531908110144,5
Andhra Pradesh,-0.025418347518489835,5
West Bengal,-0.0184634029923181,6
Tamil Nadu,0.008535148540753447,6
Himachal Pradesh,0.01102584816869331,9
Karnataka,0.07038895967843893,6
Uttar Pradesh,0.09458839520867478,11
Kerala,0.10142398970955391,5
Jammu and Kashmir,0.1070889981978932,1
Punjab,0.11440664581478838,4
Madhya Pradesh,0.1748644265267978,6
Maharashtra,0.19919090485709923,8
Delhi,0.3095437822488223,1
